,zielort,anzahl,anzahl_prozent,weiblich,weiblich_prozent,maennlich,maennlich_prozent,entfernung_in_km,year,category,breitengrad,laengengrad,herkunftsort,herkunftsort_laengengrad,herkunftsort_breitengrad
136,Kempen,214,"0,202224469",97,"0,217899182",117,"0,190842808","30,5",2018,outgoing commuters,"51,2889","6,3986",Düsseldorf,"6,7735","51,2277"
137,Tönisvorst,151,"0,142691097",83,"0,186449816",68,"0,110917187","26,6",2018,outgoing commuters,"51,366","6,4153",Düsseldorf,"6,7735","51,2277"
138,Nettetal,117,"0,110561976",55,"0,123551083",62,"0,101130377","40,1",2018,outgoing commuters,"51,3167","6,2833",Düsseldorf,"6,7735","51,2277"
139,alle sonstigen Orte,29819,"28,17818433",11772,"26,44442448",18047,"29,43709527",x,2018,outgoing commuters,"0,0","0,0",Düsseldorf,"6,7735","51,2277"
140,Köln,9717,"9,005978034",3949,"8,777506112",5768,"9,169382402","34,2",2019,outgoing commuters,"51,4344","6,7623",Düsseldorf,"6,7735","51,2277"
141,Essen,5940,"5,505352426",2608,"5,796843743",3332,"5,296876242","26,4",2019,outgoing commuters,"50,9375","6,9603",Düsseldorf,"6,7735","51,2277"
142,Duisburg,4742,"4,395013671",2109,"4,68770838",2633,"4,185676814","23,3",2019,outgoing commuters,"51,4556","7,0116",Düsseldorf,"6,7735","51,2277"
143,Krefeld,3644,"3,377357616",1460,"3,245165592",2184,"3,471902075","20,2",2019,outgoing commuters,"51,3369","6,5535",Düsseldorf,"6,7735","51,2277"
144,Wuppertal,3200,"2,965846425",1374,"3,054012003",1826,"2,902789921","25,1",2019,outgoing commuters,"51,1805","6,4425",Düsseldorf,"6,7735","51,2277"
145,Mönchengladbach,2949,"2,733212846",1343,"2,985107802",1606,"2,553056196","28,8",2019,outgoing commuters,"51,2562","7,1507",Düsseldorf,"6,7735","51,2277"
146,Leverkusen,1972,"1,827702859",794,"1,76483663",1178,"1,87266513","24,9",2019,outgoing commuters,"51,1734","7,0845",Düsseldorf,"6,7735","51,2277"
147,Mülheim an der Ruhr,1779,"1,648825247",741,"1,647032674",1038,"1,650107305","19,6",2019,outgoing commuters,"51,4309","6,8785",Düsseldorf,"6,7735","51,2277"
148,Solingen,1647,"1,526484082",690,"1,53367415",957,"1,521341706","20,4",2019,outgoing commuters,"51,496","6,8517",Düsseldorf,"6,7735","51,2277"
149,Bonn,1180,"1,093655869",379,"0,842409424",801,"1,2733487","55,8",2019,outgoing commuters,"51,4812","7,2195",Düsseldorf,"6,7735","51,2277"
150,Dortmund,1174,"1,088094907",482,"1,071349189",692,"1,100071536","62,6",2019,outgoing commuters,"51,5136","7,4653",Düsseldorf,"6,7735","51,2277"
151,Oberhausen,957,"0,886973446",448,"0,995776839",509,"0,809156665",31,2019,outgoing commuters,"51,0451","6,9944",Düsseldorf,"6,7735","51,2277"
152,Ratingen,7185,"6,659252051",3063,"6,808179595",4122,"6,552738256","9,9",2019,outgoing commuters,"51,2969","6,8528",Düsseldorf,"6,7735","51,2277"
153,Hilden,4250,"3,939014783",1759,"3,909757724",2491,"3,959939591","11,5",2019,outgoing commuters,"51,1657","6,9362",Düsseldorf,"6,7735","51,2277"
154,Langenfeld (Rheinland),3506,"3,249455489",1443,"3,207379418",2063,"3,279548526","17,2",2019,outgoing commuters,"51,2249","6,9073",Düsseldorf,"6,7735","51,2277"
155,Erkrath,2701,"2,503359748",1270,"2,822849522",1431,"2,274858914","8,4",2019,outgoing commuters,"51,1139","6,9805",Düsseldorf,"6,7735","51,2277"
156,Monheim am Rhein,1918,"1,777654201",896,"1,991553679",1022,"1,624672125","16,5",2019,outgoing commuters,"51,0969","6,9474",Düsseldorf,"6,7735","51,2277"
157,Neuss,9067,"8,403540479",3840,"8,535230051",5227,"8,309355377","10,3",2019,outgoing commuters,"51,2042","6,6879",Düsseldorf,"6,7735","51,2277"
158,Meerbusch,2029,"1,880531999",1042,"2,316070238",987,"1,569032668","11,1",2019,outgoing commuters,"51,2622","6,6751",Düsseldorf,"6,7735","51,2277"
159,Dormagen,846,"0,784095649",265,"0,589019782",581,"0,923614975","14,6",2019,outgoing commuters,"51,2209","6,6194",Düsseldorf,"6,7735","51,2277"
160,Kaarst,813,"0,753510357",375,"0,83351856",438,"0,696288053",14,2019,outgoing commuters,"51,0973","6,6864",Düsseldorf,"6,7735","51,2277"
161,Grevenbroich,754,"0,698827564",325,"0,722382752",429,"0,681980765","21,6",2019,outgoing commuters,"51,0956","6,8397",Düsseldorf,"6,7735","51,2277"
162,Willich,840,"0,778534687",330,"0,733496333",510,"0,810746364","20,6",2019,outgoing commuters,"51,2643","6,5491",Düsseldorf,"6,7735","51,2277"
163,Viersen,549,"0,508828027",280,"0,622360525",269,"0,427628964","31,5",2019,outgoing commuters,"51,255","6,3934",Düsseldorf,"6,7735","51,2277"
164,Kempen,200,"0,185365402",98,"0,217826184",102,"0,162149273","30,5",2019,outgoing commuters,"51,2889","6,3986",Düsseldorf,"6,7735","51,2277"
165,Tönisvorst,156,"0,144585013",87,"0,193376306",69,"0,109689214","26,6",2019,outgoing commuters,"51,366","6,4153",Düsseldorf,"6,7735","51,2277"
166,Nettetal,104,"0,096390009",49,"0,108913092",55,"0,087433431","40,1",2019,outgoing commuters,"51,3167","6,2833",Düsseldorf,"6,7735","51,2277"
